,Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,ILD,ILD2,RHOB,s_Facies
2885,6,A1 LM,CHURCHMAN BIBLE,2946.0,36.531,0.955,-0.39799999999999996,7.087000000000001,3.221,2,0.5760000000000001,9.015711376059569,9.015711376059569,2410.48911665571,wackestone
2886,6,A1 LM,CHURCHMAN BIBLE,2946.5,34.656,0.956,0.531,7.672000000000001,3.1860000000000004,2,0.565,9.036494737223014,9.036494737223014,2404.233958755994,wackestone
2887,6,A1 LM,CHURCHMAN BIBLE,2947.0,45.281000000000006,0.951,2.5839999999999996,9.379,3.412,2,0.5539999999999999,8.933054837332952,8.933054837332952,2374.919197831978,wackestone
2888,6,A1 LM,CHURCHMAN BIBLE,2947.5,50.063,0.951,4.121,9.892999999999999,3.484,2,0.5429999999999999,8.933054837332952,8.933054837332952,2377.495451803836,wackestone
2889,6,A1 LM,CHURCHMAN BIBLE,2948.0,54.718999999999994,0.9440000000000001,6.222,10.965,3.4410000000000003,2,0.5329999999999999,8.790225168308844,8.790225168308844,2366.8102413572483,wackestone
2893,6,A1 LM,CHURCHMAN BIBLE,2950.0,47.875,0.925,1.999,6.058,4.281000000000001,2,0.489,8.413951416451951,8.413951416451951,2478.9917039979186,wackestone
2894,6,A1 LM,CHURCHMAN BIBLE,2950.5,44.156000000000006,0.937,0.353,6.581,4.652,2,0.478,8.649679187756934,8.649679187756934,2437.8821635523395,wackestone
2895,6,A1 LM,CHURCHMAN BIBLE,2951.0,38.875,0.9590000000000001,-0.667,6.819,4.5,2,0.467,9.099132726322518,9.099132726322518,2415.458485218592,wackestone
2896,6,A1 LM,CHURCHMAN BIBLE,2951.5,39.938,1.004,-1.114,6.827000000000001,4.105,2,0.457,10.092528860766844,10.092528860766844,2408.8100912435466,wackestone
2899,6,A1 LM,CHURCHMAN BIBLE,2953.0,40.563,1.046,1.6340000000000001,6.032,4.133,2,0.424,11.117317272815914,11.117317272815914,2474.5983950348696,wackestone
2900,6,A1 LM,CHURCHMAN BIBLE,2953.5,37.125,1.056,0.981,5.952000000000001,3.83,2,0.413,11.37627285823431,11.37627285823431,2467.8245694614166,wackestone
2902,6,A1 LM,CHURCHMAN BIBLE,2954.5,43.406000000000006,1.0859999999999999,-0.85,5.489,4.129,2,0.391,12.189895989248662,12.189895989248662,2456.364687654933,wackestone
2903,6,A1 LM,CHURCHMAN BIBLE,2955.0,43.593999999999994,1.111,-0.8190000000000001,4.725,4.742,2,0.38,12.91219273613534,12.91219273613534,2481.828151871175,wackestone
2904,6,A1 LM,CHURCHMAN BIBLE,2955.5,45.563,1.129,0.39,3.4189999999999996,4.965,2,0.37,13.458603540559483,13.458603540559483,2543.166251882341,wackestone
2905,6,A1 LM,CHURCHMAN BIBLE,2956.0,43.968999999999994,1.145,0.772,3.573,4.68,2,0.359,13.963683610559377,13.963683610559377,2543.9116606602975,wackestone
2906,6,A1 LM,CHURCHMAN BIBLE,2956.5,47.718999999999994,1.157,1.099,3.784,4.727,2,0.348,14.35489433353656,14.35489433353656,2541.87390707374,wackestone
2907,6,A1 LM,CHURCHMAN BIBLE,2957.0,46.125,1.162,1.351,4.263999999999999,4.629,2,0.337,14.52111617587742,14.52111617587742,2529.6524463856704,wackestone
2908,6,A1 LM,CHURCHMAN BIBLE,2957.5,43.218999999999994,1.157,1.633,5.007,5.086,2,0.326,14.35489433353656,14.35489433353656,2508.970484324011,wackestone
2909,6,A1 LM,CHURCHMAN BIBLE,2958.0,38.313,1.135,1.665,5.952000000000001,4.77,2,0.315,13.645831365889245,13.645831365889245,2477.7308007067677,wackestone
2910,6,A1 LM,CHURCHMAN BIBLE,2958.5,40.0,1.1159999999999999,0.98,6.979,4.633,2,0.304,13.061708881318411,13.061708881318411,2433.5836538073117,wackestone
2911,6,A1 LM,CHURCHMAN BIBLE,2959.0,36.656,1.083,0.147,7.1770000000000005,3.898,2,0.293,12.105981335504822,12.105981335504822,2415.2358311868447,wackestone
2912,6,A1 LM,CHURCHMAN BIBLE,2959.5,39.063,1.041,0.221,7.25,3.8960000000000004,2,0.28300000000000003,10.990058394325208,10.990058394325208,2413.866586390924,wackestone
2913,6,A1 LM,CHURCHMAN BIBLE,2960.0,39.063,1.041,0.221,7.25,3.8960000000000004,2,0.28300000000000003,10.990058394325208,10.990058394325208,2413.866586390924,wackestone
2914,6,A1 LM,CHURCHMAN BIBLE,2960.5,38.375,1.0090000000000001,0.654,7.11,3.74,2,0.272,10.209394837076802,10.209394837076802,2424.6164182352586,wackestone
2915,6,A1 LM,CHURCHMAN BIBLE,2961.0,41.75,0.9740000000000001,1.476,7.704,4.211,2,0.261,9.418895965228415,9.418895965228415,2416.313319556656,wackestone
2916,6,A1 LM,CHURCHMAN BIBLE,2961.5,43.843999999999994,0.9329999999999999,2.5660000000000003,8.566,3.8810000000000002,2,0.25,8.570378452303695,8.570378452303695,2402.2164555083436,wackestone
2917,6,A1 LM,CHURCHMAN BIBLE,2962.0,47.468999999999994,0.904,2.843,9.755,3.5389999999999997,2,0.239,8.016780633876792,8.016780633876792,2365.5746502207767,wackestone
2918,6,A1 LM,CHURCHMAN BIBLE,2962.5,48.468999999999994,0.877,3.6,10.512,3.221,2,0.228,7.533555637337174,7.533555637337174,2349.549377593361,wackestone
2919,6,A1 LM,CHURCHMAN BIBLE,2963.0,45.875,0.845,4.357,10.585,3.1719999999999997,2,0.217,6.998419960022734,6.998419960022734,2356.672972318936,wackestone
2920,6,A1 LM,CHURCHMAN BIBLE,2963.5,47.0,0.823,5.742000000000001,10.713,3.248,2,0.207,6.652731562017413,6.652731562017413,2369.6777535487704,wackestone
2921,6,A1 LM,CHURCHMAN BIBLE,2964.0,50.468999999999994,0.805,6.166,10.68,3.141,2,0.196,6.382634861905488,6.382634861905488,2376.1395371187414,wackestone
2922,6,A1 LM,CHURCHMAN BIBLE,2964.5,53.843999999999994,0.7879999999999999,5.791,10.078,3.162,2,0.185,6.137620051647941,6.137620051647941,2392.534272346591,wackestone
2923,6,A1 LM,CHURCHMAN BIBLE,2965.0,55.313,0.787,4.743,9.369,3.0410000000000004,2,0.174,6.123503917247735,6.123503917247735,2403.6880774273804,wackestone
2931,6,A1 LM,CHURCHMAN BIBLE,2969.0,64.313,1.05,1.187,3.988,4.984,2,0.098,11.220184543019636,11.220184543019636,2536.4005951797844,wackestone
2932,6,A1 LM,CHURCHMAN BIBLE,2969.5,60.75,1.091,1.124,3.1239999999999997,5.223,2,0.087,12.33104833228909,12.33104833228909,2564.2820734657553,wackestone
2933,6,A1 LM,CHURCHMAN BIBLE,2970.0,55.25,1.167,0.723,3.525,5.152,2,0.076,14.68926277643867,14.68926277643867,2544.7573453216755,wackestone
2934,6,A1 LM,CHURCHMAN BIBLE,2970.5,55.156000000000006,1.25,0.731,4.445,4.875,2,0.065,17.78279410038923,17.78279410038923,2514.296336655955,wackestone
2937,6,A1 LM,CHURCHMAN BIBLE,2972.0,57.843999999999994,1.308,0.687,6.686,4.457,2,0.043,20.32357010936222,20.32357010936222,2439.171231475235,wackestone
2941,3,B1 SH,CHURCHMAN BIBLE,2974.0,74.563,0.779,-0.6659999999999999,32.404,2.168,1,1.0,6.011737374832781,6.011737374832781,1576.7536340571792,f_siltstone
2942,3,B1 SH,CHURCHMAN BIBLE,2974.5,72.688,0.727,0.7929999999999999,40.027,2.037,1,0.958,5.333348954876209,5.333348954876209,1331.6351063080226,f_siltstone
2943,3,B1 SH,CHURCHMAN BIBLE,2975.0,77.438,0.705,-1.06,42.174,1.9409999999999998,1,0.917,5.069907082747043,5.069907082747043,1255.3657292697408,f_siltstone
2944,3,B1 SH,CHURCHMAN BIBLE,2975.5,80.813,0.695,-1.3090000000000002,41.299,1.8880000000000001,1,0.875,4.954501908047901,4.954501908047901,1283.143921699948,f_siltstone
2945,3,B1 SH,CHURCHMAN BIBLE,2976.0,82.875,0.672,-2.435,42.571000000000005,1.8019999999999998,1,0.833,4.698941086052154,4.698941086052154,1238.3742645336067,f_siltstone
2946,3,B1 SH,CHURCHMAN BIBLE,2976.5,80.813,0.657,-5.069,38.223,2.248,1,0.792,4.539416166502032,4.539416166502032,1365.8561178225737,f_siltstone
2947,3,B1 SH,CHURCHMAN BIBLE,2977.0,71.75,0.6609999999999999,-3.162,27.967,3.102,1,0.75,4.5814188671453335,4.5814188671453335,1703.203979895698,f_siltstone
2948,3,B1 SH,CHURCHMAN BIBLE,2977.5,64.313,0.6890000000000001,-1.192,18.282,3.488,1,0.708,4.886523593428336,4.886523593428336,2034.1326957071703,f_siltstone
2976,6,B1 LM,CHURCHMAN BIBLE,2991.5,37.656,0.7809999999999999,2.169,8.28,3.863,2,0.625,6.039486293763797,6.039486293763797,2406.490526964868,wackestone
2977,6,B1 LM,CHURCHMAN BIBLE,2992.0,43.531000000000006,0.7829999999999999,4.538,8.597000000000001,3.352,2,0.594,6.067363295885053,6.067363295885053,2427.6896374892626,wackestone
2978,6,B1 LM,CHURCHMAN BIBLE,2992.5,51.218999999999994,0.7929999999999999,4.914,8.172,3.195,2,0.563,6.208690342300634,6.208690342300634,2447.468270470942,wackestone
2979,6,B1 LM,CHURCHMAN BIBLE,2993.0,60.718999999999994,0.8009999999999999,3.895,7.726,3.359,2,0.531,6.324118513762193,6.324118513762193,2448.9764121273606,wackestone
2980,6,B1 LM,CHURCHMAN BIBLE,2993.5,63.031000000000006,0.8029999999999999,1.46,6.547999999999999,3.949,2,0.5,6.353309318517436,6.353309318517436,2454.8044306880456,wackestone
2981,6,B1 LM,CHURCHMAN BIBLE,2994.0,65.125,0.8140000000000001,0.24100000000000002,5.667999999999999,4.078,2,0.469,6.516283940608428,6.516283940608428,2466.4806349652663,wackestone
2982,6,B1 LM,CHURCHMAN BIBLE,2994.5,57.625,0.8420000000000001,-0.878,6.151,4.164,2,0.43799999999999994,6.9502431758879695,6.9502431758879695,2434.2966792957827,wackestone
2983,6,B1 LM,CHURCHMAN BIBLE,2995.0,60.281000000000006,0.895,-0.494,5.962000000000001,4.375,2,0.406,7.852356346100718,7.852356346100718,2446.0701475311957,wackestone
2984,6,B1 LM,CHURCHMAN BIBLE,2995.5,75.125,0.9690000000000001,0.257,6.14,4.477,2,0.375,9.311078754678306,9.311078754678306,2451.098424866908,wackestone
2994,3,B2 SH,CHURCHMAN BIBLE,3000.5,207.125,0.7070000000000001,-0.9229999999999999,22.896,2.35,2,0.063,5.093308710571955,5.093308710571955,1886.1126123034392,f_siltstone
2995,3,B2 SH,CHURCHMAN BIBLE,3001.0,221.125,0.664,-9.69,39.427,2.043,2,0.031,4.613175745603794,4.613175745603794,1303.962205761692,f_siltstone
2996,3,B2 SH,CHURCHMAN BIBLE,3001.5,183.375,0.61,-9.88,45.231,1.9269999999999998,1,1.0,4.073802778041127,4.073802778041127,1128.5680961048417,f_siltstone
2997,3,B2 SH,CHURCHMAN BIBLE,3002.0,124.43799999999999,0.5579999999999999,-7.337000000000001,46.692,2.15,1,0.917,3.6140986263961326,3.6140986263961326,1093.4270485620054,f_siltstone
2998,3,B2 SH,CHURCHMAN BIBLE,3002.5,93.43799999999999,0.516,2.6710000000000003,42.934,2.004,1,0.833,3.2809529311311905,3.2809529311311905,1238.3676501710693,f_siltstone
2999,3,B2 SH,CHURCHMAN BIBLE,3003.0,81.625,0.49200000000000005,6.728,44.248999999999995,1.641,1,0.75,3.104559588128356,3.104559588128356,1195.4649976841927,f_siltstone
3000,3,B2 SH,CHURCHMAN BIBLE,3003.5,78.813,0.505,2.318,48.464,1.465,1,0.667,3.198895109691398,3.198895109691398,1050.9832257120045,f_siltstone
3001,3,B2 SH,CHURCHMAN BIBLE,3004.0,74.5,0.535,-8.228,52.369,1.5130000000000001,1,0.583,3.4276778654645037,3.4276778654645037,917.4451183057989,f_siltstone
3002,3,B2 SH,CHURCHMAN BIBLE,3004.5,75.563,0.5479999999999999,-16.331,46.605,1.7409999999999999,1,0.5,3.531831697919569,3.531831697919569,1058.4790317585168,f_siltstone
3003,3,B2 SH,CHURCHMAN BIBLE,3005.0,69.438,0.556,-18.252,40.175,2.8789999999999996,1,0.41700000000000004,3.5974933515574232,3.5974933515574232,1227.6981715658085,f_siltstone
3004,3,B2 SH,CHURCHMAN BIBLE,3005.5,63.063,0.638,5.584,32.941,2.285,1,0.25,4.345102241715716,4.345102241715716,1590.7919481443823,f_siltstone
3006,3,B2 SH,CHURCHMAN BIBLE,3006.5,64.938,0.7709999999999999,-9.77,34.037,2.199,1,0.083,5.902010801718442,5.902010801718442,1465.545478272752,f_siltstone
3012,9,B2 LM,CHURCHMAN BIBLE,3009.5,31.453000000000003,0.899,0.99,12.242,4.52,2,0.833,7.925013304804718,7.925013304804718,2258.309548025452,bafflestone
3013,9,B2 LM,CHURCHMAN BIBLE,3010.0,37.844,0.895,1.105,12.128,4.727,2,0.8,7.852356346100718,7.852356346100718,2263.5366104201426,bafflestone
3014,9,B2 LM,CHURCHMAN BIBLE,3010.5,43.313,0.898,0.9159999999999999,12.512,4.687,2,0.767,7.906786279998252,7.906786279998252,2248.4009080779947,bafflestone
3015,9,B2 LM,CHURCHMAN BIBLE,3011.0,41.906000000000006,0.8909999999999999,0.7929999999999999,13.074000000000002,4.593999999999999,2,0.733,7.780365510398038,7.780365510398038,2228.193816882881,bafflestone
3016,9,B2 LM,CHURCHMAN BIBLE,3011.5,35.063,0.878,0.49200000000000005,13.229000000000001,4.867,2,0.7,7.550922276654339,7.550922276654339,2219.402519837601,bafflestone
3017,9,B2 LM,CHURCHMAN BIBLE,3012.0,32.531,0.867,-0.022000000000000002,12.376,4.93,2,0.667,7.362070974947361,7.362070974947361,2241.318829997401,bafflestone
3018,9,B2 LM,CHURCHMAN BIBLE,3012.5,30.906,0.85,-1.111,11.17,5.352,2,0.633,7.079457843841379,7.079457843841379,2267.108758725559,bafflestone
3019,9,B2 LM,CHURCHMAN BIBLE,3013.0,32.188,0.821,-1.42,9.721,4.961,2,0.6,6.622165037017619,6.622165037017619,2310.2684815618222,bafflestone
3020,9,B2 LM,CHURCHMAN BIBLE,3013.5,34.281,0.778,-1.263,9.076,5.012,2,0.5670000000000001,5.997910762555095,5.997910762555095,2333.388105344499,bafflestone
3021,9,B2 LM,CHURCHMAN BIBLE,3014.0,40.844,0.7240000000000001,-0.57,8.283999999999999,4.652,2,0.5329999999999999,5.29663443891658,5.29663443891658,2368.7723888833652,bafflestone
3022,6,B2 LM,CHURCHMAN BIBLE,3014.5,52.75,0.68,0.10800000000000001,8.388,3.912,2,0.5,4.786300923226384,4.786300923226384,2374.678728466744,wackestone
3023,6,B2 LM,CHURCHMAN BIBLE,3015.0,68.125,0.62,1.744,8.656,3.065,2,0.467,4.168693834703354,4.168693834703354,2388.0578759159744,wackestone
3024,6,B2 LM,CHURCHMAN BIBLE,3015.5,96.06299999999999,0.504,4.265,11.75,2.76,2,0.433,3.1915378551007616,3.1915378551007616,2315.348214211104,wackestone
3034,6,B2 LM,CHURCHMAN BIBLE,3020.5,124.25,0.341,3.054,11.106,3.2319999999999998,2,0.1,2.192804935350449,2.192804935350449,2322.347553132672,wackestone
3036,3,B3 SH,CHURCHMAN BIBLE,3021.5,87.875,0.5,3.7969999999999997,9.68,3.201,2,0.033,3.1622776601683795,3.1622776601683795,2380.6026428645678,f_siltstone
3037,3,B3 SH,CHURCHMAN BIBLE,3022.0,74.938,0.5870000000000001,3.3139999999999996,11.139000000000001,3.215,1,1.0,3.8636697705406924,3.8636697705406924,2324.4946234822,f_siltstone
3038,3,B3 SH,CHURCHMAN BIBLE,3022.5,67.625,0.633,3.947,13.485,2.94,1,0.929,4.295364267648873,4.295364267648873,2251.834400294629,f_siltstone
3050,3,B3 SH,CHURCHMAN BIBLE,3028.5,60.906000000000006,0.75,-8.424,27.272,3.275,1,0.14300000000000002,5.623413251903491,5.623413251903491,1680.951613074596,f_siltstone
3053,6,B3 LM,CHURCHMAN BIBLE,3030.0,26.578000000000003,0.81,1.2109999999999999,10.41,4.207,2,0.929,6.456542290346556,6.456542290346556,2322.24035473079,wackestone
3054,6,B3 LM,CHURCHMAN BIBLE,3030.5,24.75,0.871,0.838,10.148,4.508,2,0.857,7.430191378967014,7.430191378967014,2326.1129563139107,wackestone
3056,6,B3 LM,CHURCHMAN BIBLE,3031.5,34.656,0.925,1.7280000000000002,8.868,4.843999999999999,2,0.7140000000000001,8.413951416451951,8.413951416451951,2380.7221921198307,wackestone
3061,6,B3 LM,CHURCHMAN BIBLE,3034.0,36.531,0.912,2.443,3.758,4.746,2,0.35700000000000004,8.165823713585924,8.165823713585924,2563.1899698791476,wackestone
3062,6,B3 LM,CHURCHMAN BIBLE,3034.5,43.281000000000006,0.907,2.948,3.3510000000000004,4.379,2,0.28600000000000003,8.072350302488383,8.072350302488383,2584.699989531385,wackestone
3076,3,B4 SH,CHURCHMAN BIBLE,3041.5,76.938,0.687,3.565,10.595,2.8539999999999996,1,0.375,4.864072056914616,4.864072056914616,2346.2622262404725,f_siltstone
3077,3,B4 SH,CHURCHMAN BIBLE,3042.0,82.18799999999999,0.6859999999999999,3.887,20.624000000000002,2.342,1,0.313,4.8528850016212095,4.8528850016212095,2006.019012115947,f_siltstone
3078,3,B4 SH,CHURCHMAN BIBLE,3042.5,81.688,0.705,-1.003,35.378,2.123,1,0.25,5.069907082747043,5.069907082747043,1477.5699815995565,f_siltstone
3087,6,B4 LM,CHURCHMAN BIBLE,3048.0,59.281000000000006,0.9229999999999999,0.877,5.275,4.617,2,0.5,8.375292821268824,8.375292821268824,2488.855355179928,wackestone
3088,6,B4 LM,CHURCHMAN BIBLE,3048.5,59.5,0.871,2.296,3.612,4.125,2,0.429,7.430191378967014,7.430191378967014,2565.886947678703,wackestone
3089,6,B4 LM,CHURCHMAN BIBLE,3049.0,51.375,0.8109999999999999,2.231,3.775,4.574,2,0.35700000000000004,6.471426157485831,6.471426157485831,2559.393811366588,wackestone
3090,6,B4 LM,CHURCHMAN BIBLE,3049.5,46.906000000000006,0.752,2.612,4.273,4.285,2,0.28600000000000003,5.649369748123025,5.649369748123025,2548.3070606645583,wackestone
3091,6,B4 LM,CHURCHMAN BIBLE,3050.0,43.938,0.685,3.529,7.36,3.852,2,0.214,4.841723675840994,4.841723675840994,2456.4637209472276,wackestone
3093,6,B4 LM,CHURCHMAN BIBLE,3051.0,53.406000000000006,0.601,6.364,14.534,3.35,2,0.071,3.9902490236214203,3.9902490236214203,2242.7863408945277,wackestone
3109,9,B5 LM,CHURCHMAN BIBLE,3061.5,52.281000000000006,0.486,3.68,17.218,7.652,2,0.75,3.061963433690677,3.061963433690677,2120.817591362126,bafflestone
3110,9,B5 LM,CHURCHMAN BIBLE,3062.0,48.125,0.479,4.463,18.34,7.598,2,0.733,3.013006024186121,3.013006024186121,2090.1467170991345,bafflestone
3111,9,B5 LM,CHURCHMAN BIBLE,3062.5,49.406000000000006,0.462,4.29,18.512,6.941,2,0.7170000000000001,2.8973435877013234,2.8973435877013234,2082.50686814335,bafflestone
3112,9,B5 LM,CHURCHMAN BIBLE,3063.0,42.688,0.429,3.075,19.239,5.539,2,0.7,2.685344445658507,2.685344445658507,2045.7083537529015,bafflestone
3113,9,B5 LM,CHURCHMAN BIBLE,3063.5,41.438,0.387,1.8459999999999999,19.15,5.027,2,0.6829999999999999,2.4378108183687526,2.4378108183687526,2036.6238022495263,bafflestone
3114,9,B5 LM,CHURCHMAN BIBLE,3064.0,37.219,0.348,0.672,19.006,5.144,2,0.667,2.2284351492703034,2.2284351492703034,2029.6467145618556,bafflestone
3115,9,B5 LM,CHURCHMAN BIBLE,3064.5,38.656,0.314,0.292,17.824,5.632999999999999,2,0.65,2.06062991327,2.06062991327,2064.9034495125766,bafflestone
3116,9,B5 LM,CHURCHMAN BIBLE,3065.0,43.0,0.28300000000000003,0.828,17.336,6.231,2,0.633,1.9186687406702896,1.9186687406702896,2086.7975624571454,bafflestone
3117,9,B5 LM,CHURCHMAN BIBLE,3065.5,42.531000000000006,0.257,1.594,17.302,5.898,2,0.617,1.807174126010927,1.807174126010927,2096.086378940309,bafflestone
3118,9,B5 LM,CHURCHMAN BIBLE,3066.0,41.188,0.23399999999999999,1.921,17.512,5.754,2,0.6,1.7139573075084253,1.7139573075084253,2092.481683372587,bafflestone
3119,9,B5 LM,CHURCHMAN BIBLE,3066.5,38.25,0.21100000000000002,1.4980000000000002,16.861,5.609,2,0.583,1.625548755750484,1.625548755750484,2109.8421751233477,bafflestone
3120,9,B5 LM,CHURCHMAN BIBLE,3067.0,39.219,0.184,1.629,15.850999999999999,6.711,2,0.5670000000000001,1.5275660582380726,1.5275660582380726,2145.1333718626424,bafflestone
3121,9,B5 LM,CHURCHMAN BIBLE,3067.5,40.938,0.16699999999999998,2.7060000000000004,15.214,8.094,2,0.55,1.4689262776438667,1.4689262776438667,2178.6233457972744,bafflestone
3122,9,B5 LM,CHURCHMAN BIBLE,3068.0,38.0,0.158,3.576,15.857000000000001,6.902,2,0.5329999999999999,1.4387985782558455,1.4387985782558455,2166.316494814569,bafflestone
3123,9,B5 LM,CHURCHMAN BIBLE,3068.5,37.938,0.14800000000000002,3.3080000000000003,16.273,6.742000000000001,2,0.517,1.406047524129914,1.406047524129914,2149.200996400943,bafflestone
3124,9,B5 LM,CHURCHMAN BIBLE,3069.0,35.156,0.133,3.2239999999999998,16.99,6.18,2,0.5,1.3583134465871542,1.3583134465871542,2123.8478144994624,bafflestone
3125,9,B5 LM,CHURCHMAN BIBLE,3069.5,36.094,0.11800000000000001,2.679,17.585,6.422000000000001,2,0.483,1.3121998990192032,1.3121998990192032,2097.924176935091,bafflestone
3126,9,B5 LM,CHURCHMAN BIBLE,3070.0,37.063,0.106,2.082,19.158,5.484,2,0.467,1.2764388088113439,1.2764388088113439,2038.6964302171205,bafflestone
3127,9,B5 LM,CHURCHMAN BIBLE,3070.5,41.0,0.1,1.348,19.453,5.398,2,0.45,1.2589254117941673,1.2589254117941673,2021.521284758545,bafflestone
3128,9,B5 LM,CHURCHMAN BIBLE,3071.0,42.031000000000006,0.106,1.723,18.688,5.297000000000001,2,0.433,1.2764388088113439,1.2764388088113439,2050.9133975548707,bafflestone
3129,9,B5 LM,CHURCHMAN BIBLE,3071.5,43.343999999999994,0.12300000000000001,2.001,18.165,5.426,2,0.41700000000000004,1.3273944577297396,1.3273944577297396,2071.3316868896623,bafflestone
3130,9,B5 LM,CHURCHMAN BIBLE,3072.0,40.906,0.151,1.666,17.719,4.93,2,0.4,1.4157937799570817,1.4157937799570817,2082.855404295564,bafflestone
3131,9,B5 LM,CHURCHMAN BIBLE,3072.5,40.531,0.184,1.033,17.424,4.894,2,0.38299999999999995,1.5275660582380726,1.5275660582380726,2086.0508354451486,bafflestone
3132,9,B5 LM,CHURCHMAN BIBLE,3073.0,39.5,0.22699999999999998,0.945,16.535999999999998,5.047,2,0.36700000000000005,1.686553025388741,1.686553025388741,2114.6985521932256,bafflestone
3133,9,B5 LM,CHURCHMAN BIBLE,3073.5,42.281000000000006,0.29,0.659,16.137999999999998,5.391,2,0.35,1.9498445997580451,1.9498445997580451,2124.7866879083163,bafflestone
3134,9,B5 LM,CHURCHMAN BIBLE,3074.0,46.063,0.366,0.74,15.764000000000001,5.652,2,0.33299999999999996,2.322736796357107,2.322736796357107,2138.119732016925,bafflestone
